,open,high,low,close,volume,datetime
0,3395.0,3395.0,3395.0,3395.0,174,2021-10-18 09:02:00
1,3395.0,3395.0,3395.0,3395.0,100,2021-10-18 09:15:00
2,3396.0,3396.0,3396.0,3396.0,100,2021-10-18 09:50:00
3,3395.0,3395.0,3395.0,3395.0,100,2021-10-18 10:00:00
4,3389.0,3389.0,3389.0,3389.0,200,2021-10-18 10:17:00
5,3389.0,3389.0,3389.0,3389.0,151,2021-10-18 10:20:00
6,3392.0,3392.0,3392.0,3392.0,100,2021-10-18 10:59:00
7,3392.0,3396.0,3392.0,3396.0,1251,2021-10-18 11:00:00
8,3397.85,3403.0,3397.85,3403.0,1024,2021-10-18 11:01:00
9,3399.0,3399.0,3399.0,3399.0,300,2021-10-18 11:02:00
10,3399.1,3399.1,3399.1,3399.1,100,2021-10-18 11:05:00
11,3401.0,3401.0,3401.0,3401.0,100,2021-10-18 11:07:00
12,3398.0,3398.0,3398.0,3398.0,100,2021-10-18 11:10:00
13,3397.0,3397.0,3397.0,3397.0,759,2021-10-18 11:12:00
14,3401.0,3401.0,3401.0,3401.0,943,2021-10-18 11:17:00
15,3401.0,3402.0,3401.0,3402.0,600,2021-10-18 11:18:00
16,3401.0,3401.0,3401.0,3401.0,603,2021-10-18 11:20:00
17,3399.5,3399.5,3399.5,3399.5,300,2021-10-18 11:22:00
18,3399.99,3399.99,3399.99,3399.99,600,2021-10-18 11:25:00
19,3400.0,3400.0,3400.0,3400.0,100,2021-10-18 11:26:00
20,3400.01,3400.01,3400.01,3400.01,100,2021-10-18 11:27:00
21,3401.24,3401.24,3401.24,3401.24,202,2021-10-18 11:30:00
22,3400.01,3400.01,3400.01,3400.01,100,2021-10-18 11:38:00
23,3398.5,3398.5,3398.5,3398.5,185,2021-10-18 11:39:00
24,3398.12,3398.12,3398.12,3398.12,100,2021-10-18 11:54:00
25,3395.0,3395.0,3393.0,3393.0,328,2021-10-18 12:02:00
26,3394.21,3394.21,3393.004,3393.004,275,2021-10-18 12:03:00
27,3393.0,3393.06,3393.0,3393.06,200,2021-10-18 12:04:00
28,3399.66,3399.66,3399.66,3399.66,100,2021-10-18 12:09:00
29,3398.0,3398.0,3398.0,3398.0,1000,2021-10-18 12:11:00
30,3394.5,3394.5,3394.5,3394.5,100,2021-10-18 12:21:00
31,3394.1246,3394.1246,3394.1246,3394.1246,200,2021-10-18 12:23:00
32,3396.0,3396.0,3394.0,3394.0,680,2021-10-18 12:27:00
33,3394.0225,3394.0225,3394.0225,3394.0225,400,2021-10-18 12:31:00
34,3393.0,3393.0,3393.0,3393.0,100,2021-10-18 12:32:00
35,3394.5,3394.5,3394.5,3394.5,100,2021-10-18 12:43:00
36,3394.0,3394.9531,3394.0,3394.9531,756,2021-10-18 12:45:00
37,3393.31,3393.31,3393.25,3393.28,340,2021-10-18 12:46:00
38,3393.25,3393.25,3393.0,3393.0,610,2021-10-18 12:47:00
39,3394.5,3394.5,3393.0,3393.0,356,2021-10-18 12:49:00
40,3393.1,3393.1,3392.0,3392.0,992,2021-10-18 12:50:00
