,open,high,low,close,volume,datetime
0,266.67,266.67,266.67,266.67,276,2021-10-18 08:00:00
1,264.7,264.7,264.7,264.7,100,2021-10-18 09:07:00
2,264.78,264.78,264.78,264.78,100,2021-10-18 09:27:00
3,264.75,264.75,264.75,264.75,700,2021-10-18 11:00:00
4,265.0,265.0,265.0,265.0,491,2021-10-18 11:01:00
5,265.76,265.76,265.76,265.76,100,2021-10-18 11:07:00
6,265.61,265.61,265.61,265.61,100,2021-10-18 11:38:00
7,265.6,265.6,265.6,265.6,336,2021-10-18 11:45:00
8,266.38,266.78,266.38,266.78,522,2021-10-18 11:48:00
9,266.74,266.74,266.74,266.74,100,2021-10-18 11:51:00
10,266.8,266.8,266.8,266.8,100,2021-10-18 11:59:00
11,265.5,265.5,265.5,265.5,230,2021-10-18 12:09:00
12,265.42,265.42,265.42,265.42,151,2021-10-18 12:18:00
13,266.77,266.77,266.77,266.77,100,2021-10-18 12:46:00
14,265.97,265.97,265.97,265.97,100,2021-10-18 12:47:00
15,265.5,265.5,265.5,265.5,100,2021-10-18 12:48:00
16,265.25,265.25,265.25,265.25,600,2021-10-18 12:52:00
17,265.25,265.32,265.14,265.14,435,2021-10-18 12:53:00
18,265.1,265.1,265.1,265.1,200,2021-10-18 13:03:00
19,265.1,265.1,265.1,265.1,300,2021-10-18 13:13:00
20,265.1,265.1,265.1,265.1,200,2021-10-18 13:22:00
21,265.22,265.22,265.22,265.22,100,2021-10-18 13:24:00
22,265.67,266.64,265.5,266.13,27511,2021-10-18 13:30:00
23,266.49,267.4675,266.395,267.1,13877,2021-10-18 13:31:00
24,267.22,267.8,267.03,267.8,5004,2021-10-18 13:32:00
25,267.86,268.5,267.0401,268.35,6046,2021-10-18 13:33:00
26,268.5482,268.5482,267.54,268.41,2275,2021-10-18 13:34:00
27,268.47,268.96,268.02,268.265,4696,2021-10-18 13:35:00
28,268.5,269.22,268.2,268.72,12965,2021-10-18 13:36:00
29,268.845,269.17,268.3,268.3,3325,2021-10-18 13:37:00
30,268.56,269.1,268.56,269.03,3101,2021-10-18 13:38:00
31,269.29,269.9,269.02,269.9,15964,2021-10-18 13:39:00
32,269.8,270.53,269.6501,270.2701,13582,2021-10-18 13:40:00
33,270.44,271.0,270.39,270.8,15618,2021-10-18 13:41:00
34,270.84,271.07,270.17,270.56,14987,2021-10-18 13:42:00
35,270.48,271.51,270.46,271.2,7525,2021-10-18 13:43:00
36,271.03,271.195,270.64,270.81,6562,2021-10-18 13:44:00
37,270.81,270.94,270.4,270.64,8762,2021-10-18 13:45:00
38,270.64,270.86,270.49,270.82,3334,2021-10-18 13:46:00
39,270.82,271.28,270.79,270.79,8279,2021-10-18 13:47:00
40,270.575,270.74,270.16,270.16,5896,2021-10-18 13:48:00
41,270.16,270.855,270.12,270.62,1666,2021-10-18 13:49:00
42,270.6755,270.87,270.64,270.79,4010,2021-10-18 13:50:00
43,270.73,270.92,270.4157,270.4157,2693,2021-10-18 13:51:00
44,270.4,270.4,270.02,270.2,7990,2021-10-18 13:52:00
45,270.173,270.34,270.05,270.165,5721,2021-10-18 13:53:00
46,270.325,270.34,270.04,270.04,2895,2021-10-18 13:54:00
47,270.04,270.04,269.35,269.96,3496,2021-10-18 13:55:00
48,270.02,270.33,269.95,269.95,2475,2021-10-18 13:56:00
49,270.007,270.18,269.88,270.06,1200,2021-10-18 13:57:00
50,269.9,269.95,268.95,269.17,3632,2021-10-18 13:58:00
51,269.195,269.2856,268.595,268.595,3639,2021-10-18 13:59:00
52,268.49,268.49,268.07,268.19,2725,2021-10-18 14:00:00
53,268.25,268.43,267.88,268.3295,9228,2021-10-18 14:01:00
54,268.305,268.5,268.27,268.44,7450,2021-10-18 14:02:00
55,268.4,268.49,267.9,268.15,4222,2021-10-18 14:03:00
56,268.15,268.44,268.095,268.39,8385,2021-10-18 14:04:00
57,268.31,268.75,268.31,268.56,5535,2021-10-18 14:05:00
58,268.7321,269.01,268.7321,268.85,4723,2021-10-18 14:06:00
59,268.86,268.94,268.86,268.94,300,2021-10-18 14:07:00
60,268.97,269.28,268.96,269.28,2600,2021-10-18 14:08:00
61,269.12,269.45,269.12,269.45,1034,2021-10-18 14:09:00
62,269.26,269.34,269.09,269.195,1223,2021-10-18 14:10:00
63,269.1026,269.45,269.1026,269.44,675,2021-10-18 14:11:00
64,269.39,269.39,268.68,268.73,2112,2021-10-18 14:12:00
65,268.6154,268.8799,268.6154,268.75,1550,2021-10-18 14:13:00
66,268.76,268.76,268.63,268.63,400,2021-10-18 14:14:00
67,268.77,268.77,268.25,268.25,1520,2021-10-18 14:15:00
68,268.27,268.4711,268.06,268.3401,1998,2021-10-18 14:16:00
69,268.49,268.49,268.25,268.25,1247,2021-10-18 14:17:00
70,268.17,268.3,268.11,268.27,1200,2021-10-18 14:18:00
71,268.48,268.5,267.97,268.07,2355,2021-10-18 14:19:00
72,268.01,268.09,268.01,268.09,800,2021-10-18 14:20:00
73,267.98,267.9854,267.61,267.985,3500,2021-10-18 14:21:00
74,267.96,267.9999,267.93,267.9899,700,2021-10-18 14:22:00
75,267.99,268.1,267.9,267.981,1000,2021-10-18 14:23:00
76,267.9401,268.115,267.93,267.93,1559,2021-10-18 14:24:00
77,268.0483,268.0483,267.72,267.902,2152,2021-10-18 14:25:00
78,267.84,268.1499,267.81,267.81,1861,2021-10-18 14:26:00
79,267.8,268.075,267.7679,268.075,4572,2021-10-18 14:27:00
80,268.247,268.247,268.06,268.2,6566,2021-10-18 14:28:00
81,268.17,268.2099,268.17,268.2099,240,2021-10-18 14:29:00
82,268.12,268.22,268.1,268.19,1700,2021-10-18 14:30:00
83,268.24,268.25,267.94,267.99,2459,2021-10-18 14:31:00
84,268.05,268.05,267.79,267.82,19114,2021-10-18 14:32:00
85,267.82,267.85,267.65,267.82,5222,2021-10-18 14:33:00
86,267.72,267.75,267.43,267.5,10910,2021-10-18 14:34:00
87,267.48,267.63,267.19,267.355,6941,2021-10-18 14:35:00
88,267.15,267.335,267.15,267.19,9875,2021-10-18 14:36:00
89,267.08,267.18,267.0,267.045,8266,2021-10-18 14:37:00
90,267.09,267.09,266.8,266.87,4672,2021-10-18 14:38:00
91,266.96,267.1,266.96,267.0,1358,2021-10-18 14:39:00
92,267.025,267.28,267.025,267.28,3184,2021-10-18 14:40:00
93,267.35,267.35,267.27,267.27,300,2021-10-18 14:41:00
94,267.3167,267.3167,266.9,266.995,1062,2021-10-18 14:42:00
95,267.0174,267.06,266.99,267.06,1200,2021-10-18 14:43:00
96,266.96,267.04,266.95,267.018,1000,2021-10-18 14:44:00
97,267.15,267.34,267.12,267.19,842,2021-10-18 14:45:00
98,267.2036,267.2036,267.04,267.04,316,2021-10-18 14:46:00
99,267.1906,267.1906,266.84,266.84,1172,2021-10-18 14:47:00
100,266.96,267.08,266.96,267.02,825,2021-10-18 14:48:00
101,266.88,267.21,266.88,267.1844,570,2021-10-18 14:49:00
102,267.15,267.46,267.15,267.44,2200,2021-10-18 14:50:00
103,267.52,268.03,267.52,267.86,4231,2021-10-18 14:51:00
104,267.84,267.87,267.7,267.87,1523,2021-10-18 14:52:00
105,267.8003,267.8936,267.8003,267.855,400,2021-10-18 14:53:00
106,267.94,268.4276,267.94,268.3,5871,2021-10-18 14:54:00
107,268.26,268.5974,268.26,268.42,6196,2021-10-18 14:55:00
108,268.4,268.52,268.27,268.27,3325,2021-10-18 14:56:00
109,268.325,268.4601,268.325,268.4601,2874,2021-10-18 14:57:00
110,268.48,268.49,268.38,268.4,1196,2021-10-18 14:58:00
111,268.34,268.4599,268.335,268.35,1670,2021-10-18 14:59:00
112,268.42,268.47,268.2971,268.44,1200,2021-10-18 15:00:00
113,268.45,268.47,268.25,268.25,1692,2021-10-18 15:01:00
114,268.1416,268.17,268.05,268.17,600,2021-10-18 15:02:00
115,268.1401,268.17,268.12,268.17,412,2021-10-18 15:03:00
116,268.13,268.15,268.13,268.15,300,2021-10-18 15:04:00
117,268.18,268.3,268.18,268.3,920,2021-10-18 15:05:00
118,268.41,269.08,268.0,268.71,31308,2021-10-18 15:06:00
119,268.705,269.14,268.47,268.89,16068,2021-10-18 15:07:00
120,268.87,269.2,268.87,269.08,11066,2021-10-18 15:08:00
